4,3,1,3,5,1
29.0,102.0,142.0,224.0,267.0,324.0,353.0,494.0,503.0,563.0,623.0,719.0,661.0,795.0,883.0,915.0,1037.0,1040.0,1125.0,1142.0,1195.0,1288.0,1343.0,1390.0,1492.0,1518.0,1544.0,1674.0,1673.0,1735.0,1780.0,1799.0,1989.0,2058.0,2076.0,2137.0,2159.0,2219.0,2200.0,2271.0,2384.0,2520.0,2546.0,2718.0,2703.0,2618.0,2754.0,2880.0,2821.0,2965.0,3012.0,3016.0,3062.0,3165.0,3242.0,3289.0,3390.0,3430.0,3442.0,3504.0,3587.0,3605.0,3701.0,3739.0,3767.0,3955.0,3954.0,3974.0,4072.0,4069.0,4136.0,4331.0,4440.0,4313.0,4387.0,4339.0,4597.0,4707.0,4631.0,4624.0,4864.0,4795.0,4871.0,4895.0,5067.0,5217.0,5178.0,5041.0,5360.0,5354.0,5342.0,5480.0,5490.0,5451.0,5521.0,5589.0,5780.0,5757.0,5967.0,5940.0,5857.0,6078.0,6089.0,6027.0,6113.0,6262.0,6267.0,6345.0,6417.0,6416.0,6482.0,6562.0,6562.0,6680.0,6865.0,6726.0,6880.0,6867.0,6990.0,7063.0,7169.0,7175.0,7214.0,7381.0,7405.0,7407.0,7412.0,7483.0,7541.0,7582.0,7720.0,7816.0,7819.0,7673.0,8055.0,7973.0,8144.0,8035.0,8261.0,8291.0,8296.0,8316.0,8572.0,8614.0,8673.0,8530.0,8758.0,8677.0,8643.0,8823.0,8895.0,8782.0,9060.0,9060.0,9040.0,9157.0,9292.0,9476.0,9313.0,9281.0,9326.0,9609.0,9674.0,9676.0,9920.0,9915.0,9833.0,9806.0,9940.0,10065.0,9893.0,9999.0,10315.0,10182.0,10508.0,10536.0,10414.0,10414.0,10657.0,10622.0,10769.0,10908.0,10962.0,10930.0,10989.0,10996.0,11002.0,11273.0,11304.0,11217.0,11346.0,11295.0,11356.0,11391.0,11465.0,11624.0,11703.0,11614.0,11674.0,11799.0,12039.0,12061.0,12198.0,12225.0,12148.0,12327.0,12509.0,12327.0,12477.0,12584.0,12474.0,12680.0,12612.0,12692.0,12790.0,13036.0,13070.0,12773.0,13178.0,13109.0,13354.0,13311.0,13355.0,13503.0,13468.0,13812.0,13555.0,13663.0,13590.0,13936.0,13847.0,14014.0,14005.0,14379.0,14269.0,14434.0,14375.0,14533.0,14586.0,14612.0,14810.0,14842.0,14713.0,14960.0,14886.0,14973.0,15012.0,15128.0,15484.0,15209.0,15462.0,15356.0,15779.0,15636.0,15846.0,16128.0,15958.0,16044.0,15994.0,15955.0,16255.0,16294.0,16526.0,16469.0,16569.0,16833.0,16752.0,16944.0,17382.0,17098.0,16966.0,17296.0,17490.0,17594.0,17784.0,17678.0,17786.0,17776.0,18032.0,18054.0,18157.0,18122.0,18353.0,18216.0,18879.0,18808.0,18950.0,19126.0,19388.0,19368.0,19347.0,19338.0,19732.0,19707.0,19753.0,20057.0,20003.0,20069.0,20459.0,20580.0,20679.0,21142.0,21224.0,21217.0,21560.0,21675.0,21859.0,21984.0,22230.0,22477.0,22702.0,22891.0,23204.0,23321.0,23774.0,23898.0,24115.0,24625.0,24809.0,25086.0,25428.0,25601.0,26338.0,26819.0,27450.0,28091.0,28309.0,29147.0,30110.0,31294.0,32826.0,34955.0,39142.0,45974.0,37317.0,34520.0,32174.0,31388.0,30114.0,28826.0,28436.0,27918.0,27062.0,26744.0,26281.0,26127.0,25558.0,25093.0,25100.0,24598.0,24379.0,24266.0,24394.0,23687.0,23398.0,23155.0,23161.0,22930.0,22399.0,22473.0,22401.0,22466.0,22106.0,21657.0,21472.0,21568.0,21216.0,21256.0,21068.0,20838.0,20855.0,20655.0,20571.0,20498.0,20645.0,20095.0,20106.0,19975.0,20075.0,19745.0,19574.0,19631.0,19538.0,19280.0,19368.0,19448.0,19225.0,19014.0,18768.0,19122.0,18817.0,18740.0,18555.0,18574.0,18364.0,18502.0,18410.0,18274.0,18318.0,18160.0,18181.0,17835.0,17936.0,17988.0,17949.0,17686.0,17858.0,17581.0,17733.0,17514.0,17534.0,17457.0,17329.0,17314.0,17164.0,17104.0,17394.0,17053.0,16752.0,16829.0,16711.0,16635.0,16663.0,16690.0,16698.0,16647.0,16632.0,16669.0,16408.0,16306.0,16372.0,16283.0,16360.0,16259.0,16019.0,15938.0,16005.0,16077.0,15933.0,15816.0,15496.0,16029.0,15790.0,15773.0,15588.0,15625.0,15671.0,15785.0,15359.0,15378.0,15560.0,15209.0,15195.0,15016.0,15429.0,15212.0,15005.0,15047.0,15113.0,14849.0,14904.0,14903.0,14952.0,14784.0,14551.0,14684.0,15014.0,14472.0,14423.0,14774.0,14434.0,14491.0,14581.0,14529.0,14378.0,14432.0,14237.0,14430.0,14231.0,14338.0,14156.0,14390.0,13917.0,13990.0,14003.0,14051.0,13918.0,14098.0,13875.0,13998.0,13827.0,13877.0,13880.0,13671.0,13774.0,13580.0,13487.0,13420.0,13212.0,13654.0,13426.0,13455.0,13397.0,13359.0,13371.0,13147.0,13106.0,13128.0,13103.0,13125.0,13150.0,13093.0,12990.0,13174.0,12862.0,12698.0,12851.0,12953.0,12926.0,12777.0,12692.0,12781.0,12741.0,12661.0,12645.0,12708.0,12526.0,12595.0,12439.0,12470.0,12531.0,12322.0,12427.0,12137.0,12306.0,12466.0,12243.0,12196.0,12512.0,12209.0,12077.0,12348.0,12166.0,12148.0,12138.0,12018.0,11863.0,12100.0,12112.0,11868.0,11716.0,11819.0,11778.0,11798.0,11758.0,11789.0,11535.0,11656.0,11533.0,11516.0,11469.0,11481.0,11506.0,11667.0,11523.0,11579.0,11408.0,11064.0,11235.0,11447.0,11212.0,11291.0,11084.0,11045.0,11131.0,11220.0,11222.0,11087.0,11117.0,10887.0,10870.0,10769.0,11078.0,10775.0,10657.0,10736.0,10705.0,10645.0,10868.0,10730.0,10664.0,10558.0,10628.0,10511.0,10622.0,10580.0,10581.0,10492.0,10458.0,10465.0,10312.0,10225.0,10471.0,10369.0,10116.0,10180.0,10202.0,10018.0,9989.0,10148.0,9979.0,10036.0,10087.0,10081.0,10155.0,9820.0,10029.0,10045.0,9872.0,9860.0,9845.0,9907.0,9818.0,9837.0,9703.0,9766.0,9466.0,9638.0,9473.0,9496.0,9608.0,9597.0,9603.0,9360.0,9351.0,9382.0,9434.0,9579.0,9265.0,9387.0,9426.0,9252.0,9217.0,9157.0,9195.0,9089.0,9187.0,9148.0,9140.0,9180.0,8980.0,8851.0,9058.0,8904.0,8727.0,8791.0,8827.0,8787.0,8674.0,8832.0,8779.0,8472.0,8747.0,8779.0,8691.0,8597.0,8576.0,8569.0,8635.0,8573.0,8655.0,8425.0,8530.0,8490.0,8200.0,8212.0,8358.0,8255.0,8257.0,8025.0,8187.0,8160.0,8255.0,8187.0,8088.0,7976.0,8034.0,8132.0,8095.0,7947.0,8054.0,7896.0,7893.0,7893.0,7770.0,7813.0,7757.0,7682.0,7630.0,7793.0,7663.0,7634.0,7667.0,7703.0,7609.0,7690.0,7422.0,7515.0,7499.0,7547.0,7504.0,7580.0,7416.0,7251.0,7356.0,7279.0,7236.0,7283.0,7062.0,7099.0,7221.0,7138.0,7196.0,7057.0,7123.0,6973.0,6990.0,7071.0,6895.0,6832.0,6849.0,6814.0,6900.0,6896.0,7018.0,6717.0,6675.0,6715.0,6678.0,6613.0,6566.0,6554.0,6609.0,6528.0,6577.0,6474.0,6509.0,6568.0,6468.0,6491.0,6427.0,6312.0,6351.0,6392.0,6283.0,6368.0,6252.0,6313.0,6175.0,6193.0,6230.0,6163.0,6119.0,5954.0,6182.0,6115.0,6213.0,5949.0,5965.0,6076.0,5884.0,6016.0,5732.0,5927.0,5780.0,5802.0,5682.0,5689.0,5795.0,5676.0,5700.0,5592.0,5698.0,5586.0,5521.0,5424.0,5549.0,5573.0,5495.0,5511.0,5435.0,5397.0,5502.0,5347.0,5270.0,5144.0,5321.0,5270.0,5269.0,5224.0,5177.0,5334.0,5234.0,5151.0,5032.0,5150.0,4950.0,5021.0,4868.0,5023.0,4929.0,4986.0,4878.0,4904.0,4822.0,4846.0,4814.0,4698.0,4754.0,4673.0,4685.0,4527.0,4563.0,4738.0,4705.0,4582.0,4582.0,4471.0,4560.0,4432.0,4519.0,4461.0,4465.0,4482.0,4415.0,4452.0,4511.0,4291.0,4284.0,4302.0,4246.0,4250.0,4201.0,4080.0,4226.0,4175.0,4230.0,4201.0,3963.0,4010.0,3987.0,3949.0,4046.0,4016.0,3969.0,4017.0,3919.0,3867.0,3894.0,3795.0,3777.0,3710.0,3873.0,3749.0,3812.0,3749.0,3651.0,3565.0,3702.0,3541.0,3481.0,3556.0,3604.0,3470.0,3476.0,3380.0,3465.0,3482.0,3386.0,3433.0,3369.0,3343.0,3339.0,3304.0,3226.0,3231.0,3264.0,3203.0,3153.0,3187.0,3038.0,3161.0,3249.0,3081.0,3052.0,3053.0,2997.0,2946.0,2921.0,2926.0,2908.0,2925.0,2998.0,2906.0,2847.0,2772.0,2819.0,2841.0,2818.0,2797.0,2666.0,2672.0,2661.0,2608.0,2668.0,2710.0,2615.0,2608.0,2536.0,2498.0,2475.0,2390.0,2387.0,2489.0,2400.0,2423.0,2365.0,2355.0,2448.0,2252.0,2239.0,2326.0,2205.0,2236.0,2232.0,2155.0,2116.0,2158.0,2125.0,2094.0,2116.0,2022.0,2023.0,2017.0,1936.0,2010.0,1908.0,1939.0,1880.0,1852.0,1833.0,1803.0,1797.0,1760.0,1750.0,1728.0,1705.0,1680.0,1616.0,1586.0,1607.0,1583.0,1603.0,1510.0,1551.0,1482.0,1440.0,1415.0,1326.0,1389.0,1335.0,1368.0,1268.0,1254.0,1268.0,1297.0,1144.0,1171.0,1148.0,1092.0,1053.0,985.0,1057.0,1026.0,940.0,940.0,912.0,801.0,848.0,813.0,786.0,689.0,700.0,588.0,560.0,485.0,458.0,330.0,274.0,159.0
5,1,2,4,1,2
35.0,88.0,153.0,184.0,274.0,362.0,385.0,428.0,481.0,547.0,610.0,717.0,756.0,795.0,883.0,962.0,1023.0,1033.0,1094.0,1197.0,1184.0,1268.0,1338.0,1379.0,1500.0,1593.0,1562.0,1718.0,1666.0,1772.0,1847.0,1901.0,1997.0,2008.0,1977.0,2173.0,2180.0,2212.0,2280.0,2372.0,2495.0,2492.0,2498.0,2547.0,2640.0,2696.0,2779.0,2857.0,2883.0,3004.0,2912.0,3105.0,3139.0,3258.0,3161.0,3310.0,3555.0,3448.0,3474.0,3517.0,3692.0,3673.0,3798.0,3886.0,3991.0,3957.0,3992.0,3956.0,4090.0,4132.0,4216.0,4242.0,4457.0,4443.0,4501.0,4504.0,4574.0,4779.0,4732.0,4792.0,4988.0,4833.0,4922.0,5092.0,5082.0,5057.0,5123.0,5260.0,5277.0,5270.0,5468.0,5513.0,5520.0,5571.0,5592.0,5559.0,5798.0,5725.0,5835.0,5929.0,5964.0,6222.0,5940.0,6094.0,6237.0,6373.0,6364.0,6614.0,6533.0,6522.0,6755.0,6651.0,6785.0,6726.0,6828.0,6856.0,7024.0,7033.0,7111.0,7269.0,7205.0,7299.0,7426.0,7412.0,7287.0,7475.0,7579.0,7565.0,7672.0,7645.0,7715.0,7743.0,7872.0,7886.0,8085.0,8038.0,8138.0,8222.0,8357.0,8279.0,8389.0,8531.0,8379.0,8496.0,8450.0,8709.0,8558.0,8685.0,8735.0,8913.0,9145.0,9255.0,9131.0,9203.0,9312.0,9342.0,9348.0,9244.0,9436.0,9387.0,9588.0,9622.0,9649.0,9761.0,9836.0,9865.0,9809.0,9971.0,9984.0,10100.0,10324.0,10137.0,10127.0,10487.0,10280.0,10337.0,10484.0,10692.0,10641.0,10718.0,10584.0,10615.0,10697.0,10925.0,10915.0,11172.0,11049.0,11264.0,11197.0,11317.0,11377.0,11312.0,11431.0,11545.0,11725.0,11805.0,11630.0,11696.0,12018.0,11962.0,11948.0,12100.0,12424.0,12203.0,12225.0,12390.0,12390.0,12496.0,12592.0,12569.0,12389.0,12768.0,12613.0,12898.0,12879.0,13017.0,13120.0,13100.0,12998.0,13243.0,13410.0,13394.0,13227.0,13439.0,13483.0,13708.0,13580.0,13768.0,13803.0,13952.0,14110.0,14162.0,14171.0,14203.0,14129.0,14157.0,14341.0,14291.0,14391.0,14355.0,14578.0,14515.0,14702.0,14672.0,15170.0,14942.0,15115.0,15183.0,15330.0,15471.0,15509.0,15660.0,16021.0,15790.0,15750.0,16081.0,15881.0,15986.0,16010.0,16231.0,16526.0,16479.0,16480.0,16291.0,16570.0,16627.0,16869.0,16790.0,16983.0,17210.0,17213.0,17236.0,17362.0,17586.0,17765.0,17543.0,17640.0,17669.0,18047.0,17621.0,18109.0,18163.0,18329.0,18477.0,18628.0,18913.0,18855.0,18826.0,19313.0,19197.0,19320.0,19395.0,19442.0,19801.0,19921.0,19696.0,20062.0,20588.0,20668.0,20603.0,20717.0,20856.0,21222.0,21359.0,21467.0,21436.0,21892.0,21856.0,22255.0,22179.0,22578.0,22607.0,23248.0,23174.0,23471.0,23873.0,24306.0,24515.0,24644.0,25108.0,25625.0,25888.0,26410.0,27056.0,27487.0,28206.0,28461.0,29383.0,30355.0,30975.0,32706.0,35267.0,39107.0,45370.0,37128.0,34157.0,32616.0,31188.0,30165.0,29214.0,28593.0,28024.0,27372.0,26694.0,26604.0,25998.0,25700.0,25585.0,25044.0,24637.0,24389.0,24128.0,23731.0,23413.0,23321.0,23184.0,23071.0,22818.0,22623.0,22316.0,22215.0,21822.0,21927.0,21878.0,21732.0,21228.0,21293.0,21390.0,20912.0,21108.0,20754.0,20495.0,20527.0,20369.0,20391.0,20173.0,20136.0,19993.0,19861.0,19923.0,19877.0,19800.0,19334.0,19321.0,19329.0,19086.0,18968.0,19114.0,18923.0,19141.0,19190.0,18477.0,18495.0,18615.0,18404.0,18276.0,18319.0,18110.0,18088.0,18022.0,18155.0,18231.0,17937.0,17900.0,17824.0,17753.0,17684.0,17585.0,17580.0,17495.0,17470.0,17189.0,17433.0,17139.0,17145.0,16883.0,16929.0,17146.0,16979.0,16976.0,16817.0,16706.0,16627.0,16394.0,16722.0,16577.0,16265.0,16372.0,16311.0,16157.0,16099.0,16201.0,16382.0,16132.0,15965.0,16190.0,15903.0,16009.0,15871.0,15870.0,15784.0,15759.0,15774.0,15575.0,15466.0,15576.0,15262.0,15365.0,15446.0,15264.0,15267.0,15339.0,15174.0,15080.0,15331.0,15178.0,14870.0,15194.0,15183.0,15013.0,14976.0,14870.0,14939.0,14682.0,14786.0,14685.0,14746.0,14740.0,14656.0,14588.0,14274.0,14527.0,14382.0,14370.0,14234.0,14287.0,14265.0,14463.0,14227.0,14246.0,14318.0,14122.0,14114.0,13960.0,14057.0,13956.0,13873.0,13925.0,13652.0,13733.0,13753.0,13662.0,13770.0,13571.0,13578.0,13526.0,13442.0,13573.0,13509.0,13250.0,13494.0,13298.0,13335.0,13258.0,13258.0,13013.0,13281.0,13238.0,13232.0,13113.0,12990.0,13122.0,13171.0,12926.0,13053.0,12975.0,12632.0,12796.0,12965.0,12577.0,12714.0,12739.0,12768.0,12611.0,12732.0,12642.0,12414.0,12610.0,12641.0,12379.0,12426.0,12543.0,12429.0,12321.0,12467.0,12363.0,12173.0,12266.0,12125.0,12193.0,12074.0,12159.0,11892.0,12190.0,11840.0,11966.0,11899.0,12073.0,11839.0,11916.0,11724.0,11645.0,11809.0,11813.0,11730.0,11572.0,11660.0,11532.0,11475.0,11531.0,11399.0,11239.0,11360.0,11178.0,11214.0,11455.0,11158.0,11469.0,11358.0,11289.0,11107.0,11242.0,11270.0,11154.0,11092.0,11100.0,11051.0,11023.0,11003.0,10865.0,11039.0,10995.0,10769.0,10801.0,10791.0,10763.0,10793.0,10665.0,10642.0,10641.0,10681.0,10531.0,10644.0,10570.0,10474.0,10710.0,10569.0,10556.0,10473.0,10297.0,10424.0,10245.0,10342.0,10191.0,10206.0,10112.0,10333.0,10240.0,10053.0,10192.0,10171.0,9993.0,10179.0,10004.0,9896.0,10023.0,9913.0,9996.0,9893.0,9722.0,9873.0,9834.0,9671.0,9700.0,9769.0,9544.0,9625.0,9702.0,9502.0,9592.0,9428.0,9470.0,9623.0,9542.0,9435.0,9413.0,9388.0,9490.0,9220.0,9191.0,9369.0,9257.0,9301.0,9234.0,9122.0,9175.0,9026.0,9144.0,8959.0,9076.0,9016.0,8973.0,9002.0,8994.0,8848.0,8908.0,8792.0,8761.0,8648.0,8754.0,8751.0,8609.0,8776.0,8758.0,8794.0,8757.0,8560.0,8330.0,8385.0,8600.0,8371.0,8467.0,8506.0,8362.0,8157.0,8071.0,8363.0,8181.0,8267.0,8462.0,8263.0,8179.0,8071.0,8236.0,8138.0,8002.0,8174.0,8060.0,8001.0,7987.0,7807.0,7991.0,7757.0,7852.0,7763.0,7814.0,7861.0,7726.0,7712.0,7683.0,7710.0,7683.0,7711.0,7397.0,7571.0,7618.0,7386.0,7650.0,7554.0,7559.0,7441.0,7332.0,7233.0,7188.0,7411.0,7380.0,7299.0,7282.0,7161.0,7082.0,7075.0,7000.0,7031.0,6939.0,7104.0,7118.0,6972.0,6978.0,7097.0,6910.0,6918.0,6996.0,6954.0,6787.0,6935.0,6901.0,6765.0,6679.0,6692.0,6824.0,6539.0,6659.0,6744.0,6551.0,6551.0,6476.0,6451.0,6437.0,6542.0,6479.0,6443.0,6355.0,6383.0,6266.0,6141.0,6364.0,6298.0,6262.0,6247.0,6112.0,6233.0,6293.0,6050.0,6015.0,6050.0,5934.0,6047.0,5962.0,5982.0,6053.0,5860.0,5931.0,5878.0,5944.0,5878.0,5792.0,5748.0,5945.0,5779.0,5915.0,5563.0,5650.0,5653.0,5441.0,5566.0,5542.0,5549.0,5519.0,5409.0,5400.0,5471.0,5420.0,5353.0,5408.0,5386.0,5204.0,5247.0,5213.0,5242.0,5220.0,5160.0,5220.0,5159.0,5017.0,5058.0,5098.0,4961.0,5054.0,5125.0,4881.0,4901.0,5023.0,4970.0,5013.0,4855.0,4777.0,4722.0,4795.0,4902.0,4792.0,4699.0,4634.0,4819.0,4703.0,4695.0,4499.0,4497.0,4579.0,4569.0,4552.0,4428.0,4428.0,4391.0,4346.0,4373.0,4368.0,4380.0,4292.0,4277.0,4270.0,4281.0,4354.0,4179.0,4181.0,4111.0,4151.0,4214.0,4111.0,4086.0,3946.0,4007.0,3929.0,4060.0,4190.0,3930.0,3908.0,4048.0,3796.0,3843.0,3908.0,3832.0,3952.0,3905.0,3775.0,3742.0,3736.0,3734.0,3750.0,3613.0,3632.0,3629.0,3541.0,3645.0,3467.0,3500.0,3492.0,3507.0,3406.0,3375.0,3417.0,3394.0,3342.0,3308.0,3343.0,3364.0,3225.0,3331.0,3324.0,3321.0,3162.0,3219.0,3161.0,3184.0,3104.0,3055.0,3036.0,3121.0,3026.0,3024.0,2888.0,2928.0,2939.0,3023.0,2963.0,2888.0,2802.0,2908.0,2896.0,2682.0,2742.0,2736.0,2637.0,2780.0,2676.0,2625.0,2639.0,2612.0,2501.0,2558.0,2574.0,2488.0,2474.0,2458.0,2518.0,2489.0,2447.0,2349.0,2361.0,2315.0,2320.0,2292.0,2300.0,2262.0,2240.0,2173.0,2189.0,2188.0,2190.0,2119.0,2130.0,2089.0,2061.0,1985.0,1993.0,2006.0,2000.0,1950.0,1932.0,1930.0,1835.0,1853.0,1828.0,1887.0,1729.0,1740.0,1767.0,1662.0,1634.0,1703.0,1608.0,1695.0,1577.0,1560.0,1547.0,1576.0,1509.0,1429.0,1489.0,1438.0,1383.0,1353.0,1367.0,1351.0,1277.0,1260.0,1176.0,1249.0,1229.0,1198.0,1125.0,1128.0,1084.0,1038.0,989.0,938.0,940.0,907.0,899.0,864.0,759.0,751.0,676.0,635.0,585.0,564.0,470.0,432.0,395.0,313.0,176.0
6,2,3,0,2,5
